original_text,translated_text,experience
एस्पेक्ट रेशो ईश्यू हम आशा आने अपडेट फिक्स जाएगा ।,Aspect Resho Ishu Hum Asha will be updated updated.,neutral
मॉडल कंप्यूटर शानदार विकल्प ।,Model Computer Fantastic Options.,positive
"हां , फिल्म हर किरदार भारद्वाज भरद्वाज क्यों बुलाता","Yes, why does the film call every character Bhardwaj Bhardwaj",neutral
फोन उपयोग बेहद आसान टच रिस्पॉरन्स उतना बेहतर ।,Phone use is very easy touch response as much better.,positive
डिजिफलीप प्रो टेबलेट् सर्वोत्तम ।,Digifleep Pro Tablet Best.,positive
"युवाओं फोन कमजोर रैम कारण ज्यादा उपयुक्त , मध्यमवर्गीय 25 साल अधिक आयु कामकाजी लोग , गृहिणियां यां स्कूली छात्र चाहें मोबाईल फोन तौर आजमा ।","Youth phone weak RAM causes more appropriate, middle class 25 years old working people, housewives or school students try as mobile phones.",negative
पेरिस्कोप एंड्रॉयड वर्जन ऎसे यूनिक फीचर्स दिए गए आईओएस दिए गए ।,Periscope Android version such unique features were given iOS.,neutral
वनों विलक्षण वनस्पति तथा हरे घास मैदानों बीच यहां नीलकुरंजी नामक फूल पाया जाता ।,A flower called Neelkuranji would be found here between forests of unique vegetation and green grasslands.,neutral
55 इंच एचडी डिस्पले स्क्रीन अल्ट्रा वाइड व्यूइंग एंगल दी गई जिससे पिक्चर्स बेहतर क्वालिटी दिखती ।,The 55 inch HD display screen was given ultra wide viewing angle that would make the pictures look better.,positive
फिल्म शोनाली मौजूदगी सोच समझदारी स्तर ।,Film Shonali presence thinking wisdom level.,positive
"मैंने , प्रोसेसर गेम खेलने तथा विडियो पूरी सहज चलाने काबिल ।","I, I am able to play processor games and play the video fully easy.",negative
"असम ब्रह्मपुत्र नदी किनारे स्थित पार्क गैंडे हाथी , चीता , बाघ , हिरण , डॉल्फिन , सांभर देखे ।","See the Park Rhinoceros, Cheetah, Tiger, Deer, Dolphin, Sambhar, located on the banks of the Assam Brahmaputra river.",neutral
